fish_rich,anemone_rich,annelid_rich,arthropod_rich,coral_rich,mollusc_rich,octocoral_rich,sponge_rich,total_rich,Reef complexity,No tall corals,No corals,Sponge max height,Octocoral max height,Slope angle,Country
9,1,1,1,5,1,2,6,25,1,0,14,5,13,0,SVG
17,1,0,2,5,0,4,10,39,1,0,17,6,24,0,SVG
22,1,2,2,7,0,4,14,52,1,0,28,12,15,0,SVG
13,1,1,1,5,1,3,17,42,1,0,17,11,121,5,SVG
18,1,2,1,5,0,6,17,51,1,0,23,13,27,5,SVG
20,1,2,3,6,1,2,16,51,1,0,21,38,18,0,SVG
15,1,1,1,6,2,6,19,49,1,0,22,31,91,5,SVG
18,1,2,3,5,2,4,17,50,1,0,12,14,47,5,SVG
19,1,1,2,6,1,4,18,51,1,1,20,34,29,0,SVG
15,2,1,5,11,0,9,9,52,2,2,114,0,0,25,SVG
23,1,2,4,13,0,6,13,62,2,2,159,20,61,25,SVG
23,1,2,1,13,0,11,15,66,2,0,149,10,120,30,SVG
26,1,1,5,13,0,13,17,76,2,3,221,32,125,30,SVG
25,1,3,2,13,1,9,17,71,3,2,159,17,156,25,SVG
24,2,1,3,11,2,9,20,70,2,4,197,38,138,20,SVG
22,2,3,5,12,2,15,18,77,3,2,243,34,152,20,SVG
29,1,2,2,12,3,8,12,66,5,6,154,3,93,15,SVG
27,1,3,3,6,3,6,12,61,5,4,120,3,50,15,SVG
26,1,1,1,12,2,8,20,69,2,1,247,15,62,10,SVG
27,1,2,3,10,2,8,11,63,5,15,199,3,82,35,SVG
18,1,3,1,11,1,8,8,51,5,11,172,3,69,30,SVG
20,1,3,1,12,4,5,13,56,5,11,221,6,73,35,SVG
17,1,2,1,11,4,9,13,54,5,1,227,5,80,40,SVG
25,2,2,3,7,3,7,9,57,5,5,172,2,84,35,SVG
19,1,3,3,7,4,6,10,51,5,8,224,43,88,30,SVG
24,1,4,2,9,3,6,10,57,3,4,188,24,156,15,SVG
22,1,4,3,6,2,5,6,49,5,9,153,3,56,30,SVG
26,1,3,2,6,3,6,9,54,5,7,144,2,114,30,SVG
18,1,1,1,6,1,3,14,46,2,7,179,2,110,25,SVG
10,1,1,1,6,3,5,7,32,1,0,119,30,150,15,SVG
16,1,1,1,8,0,4,12,43,2,1,123,18,132,5,SVG
23,1,3,0,11,0,7,16,62,3,1,165,26,69,5,SVG
19,1,2,1,10,3,9,18,60,3,1,202,10,57,0,SVG
22,1,3,2,4,2,2,10,46,4,6,126,2,57,15,SVG
26,1,3,2,7,3,6,13,59,2,1,171,20,59,0,SVG
15,1,1,1,5,2,2,13,38,2,0,204,47,31,30,SVG
21,1,2,1,8,3,4,10,48,2,0,261,2,38,35,SVG
12,1,1,0,4,2,4,21,43,1,0,176,66,53,0,SVG
22,2,5,3,15,3,11,17,76,4,6,178,14,127,40,SVG
19,1,3,1,13,2,6,16,59,2,8,189,38,61,50,SVG
24,2,2,3,13,1,9,18,73,4,15,158,11,85,45,SVG
20,1,6,2,13,2,10,26,78,4,9,141,55,80,60,SVG
23,1,1,5,13,4,7,23,73,3,10,164,6,60,70,SVG
23,2,1,3,17,2,10,17,73,3,7,160,2,89,60,SVG
24,1,4,1,11,3,9,17,68,4,8,130,17,133,50,SVG
25,1,3,3,11,1,5,15,66,4,6,115,4,55,40,SVG
26,1,2,3,18,1,8,23,81,4,5,369,61,80,65,SVG
23,2,4,5,15,2,7,23,81,4,12,221,38,70,55,SVG
26,1,3,1,13,5,9,23,77,4,11,360,48,99,55,SVG
16,1,2,0,15,2,9,17,60,3,8,291,10,61,60,SVG
22,2,2,4,13,6,10,12,67,5,3,255,5,81,55,SVG
17,1,2,2,13,3,10,23,68,2,11,319,137,7,55,SVG
27,1,3,1,9,3,7,11,60,4,9,103,2,84,5,SVG
30,2,3,3,13,4,5,24,82,5,5,134,2,88,0,SVG
16,1,1,1,5,1,4,18,46,1,0,116,11,18,15,SVG
17,1,6,3,7,1,6,17,57,2,1,87,37,20,10,SVG
21,2,3,4,11,3,10,22,74,5,7,139,14,165,5,SVG
22,2,3,2,11,4,8,20,70,4,2,123,5,138,5,SVG
20,1,4,3,12,3,7,10,58,3,6,142,2,124,5,SVG
31,1,3,2,6,5,6,9,61,5,6,121,2,123,5,SVG
24,1,3,0,11,1,10,22,71,3,2,204,19,62,25,SVG
21,1,3,5,16,2,8,25,80,2,7,222,58,115,25,SVG
20,1,6,1,11,2,7,23,71,3,3,221,35,19,35,SVG
27,1,6,4,13,1,6,21,78,3,8,284,53,64,35,SVG
17,2,6,1,11,2,7,22,68,2,5,221,27,69,30,SVG
18,1,3,2,12,2,9,23,69,2,4,206,51,117,30,SVG
18,1,5,2,12,1,7,24,70,2,2,150,20,55,20,SVG
23,1,5,2,10,1,9,19,70,3,4,127,25,129,15,SVG
26,2,3,2,14,2,13,29,89,3,8,156,71,82,40,SVG
27,1,4,0,17,0,13,26,88,3,8,166,56,83,35,SVG
28,2,6,4,16,0,13,28,97,4,8,132,60,105,45,SVG
33,1,4,3,15,1,13,29,98,4,2,114,88,133,35,SVG
20,2,2,1,7,0,7,22,62,1,0,68,33,100,0,SVG
18,1,3,0,7,2,9,24,63,1,2,17,26,112,0,SVG
17,2,5,0,7,0,7,27,65,1,3,123,27,76,0,SVG
19,1,1,2,7,1,4,21,57,1,0,47,27,64,0,SVG
27,1,0,4,9,2,7,8,57,5,1,65,5,94,5,SVG
23,1,2,2,8,2,7,8,53,5,6,124,5,102,0,SVG
16,1,3,1,11,2,6,13,52,4,2,96,21,110,5,SVG
20,1,3,0,9,1,8,13,54,4,4,144,36,103,5,SVG
16,1,1,1,15,1,8,19,61,4,1,140,5,107,5,SVG
12,1,1,2,8,1,7,18,49,1,1,157,5,0,5,SVG
18,0,3,0,7,0,8,11,48,3,0,31,5,65,5,SVG
11,0,2,0,4,1,4,12,34,2,0,86,20,20,5,SVG
11,0,0,0,5,0,7,14,38,1,0,93,42,34,5,SVG
18,2,3,3,12,6,10,18,66,4,2,111,10,62,5,SVG
15,1,3,2,12,3,7,20,61,4,9,76,71,107,10,SVG
23,1,4,4,9,2,6,11,59,4,18,170,5,23,10,SVG
15,0,5,1,11,2,7,16,56,4,12,193,5,95,5,SVG
24,0,3,4,9,1,7,7,54,5,12,47,5,45,15,SVG
25,0,3,3,13,1,6,17,67,5,16,151,5,105,5,SVG
18,1,3,3,8,4,9,19,63,5,12,112,8,137,10,SVG
21,0,1,2,8,3,7,27,68,5,7,98,11,66,5,SVG
20,0,3,1,14,0,7,18,63,3,10,210,32,87,5,SVG
16,0,1,1,16,2,4,14,52,3,6,189,5,73,5,SVG
16,0,4,1,10,1,10,21,63,3,4,129,16,94,15,SVG
17,0,4,2,10,2,2,15,51,3,5,129,34,86,20,SVG
16,0,4,0,9,2,3,12,45,2,2,11,20,90,20,SVG
14,0,2,1,5,0,2,12,38,1,1,115,2,9,5,SVG
17,0,3,0,4,1,2,12,39,1,0,96,2,5,5,SVG
29,0,3,3,17,2,1,20,76,4,8,237,5,54,50,BON
19,1,4,1,15,1,0,15,55,2,3,106,14,2,60,BON
27,3,4,4,16,0,2,18,75,3,13,253,49,54,50,BON
30,3,4,0,14,0,1,20,73,4,12,266,90,54,45,BON
28,1,6,2,17,1,3,15,73,4,19,246,96,2,45,BON
12,1,4,2,9,0,0,11,39,1,0,48,23,0,40,BON
32,3,4,4,20,0,2,24,91,3,14,252,42,54,60,BON
25,2,4,3,22,3,4,20,83,5,16,294,51,53,75,BON
22,1,2,2,18,1,6,18,72,5,16,220,56,212,70,BON
30,2,4,4,18,1,8,19,88,3,10,158,97,152,65,BON
29,3,3,1,17,0,9,23,87,4,8,217,29,154,75,BON
25,3,3,1,20,0,6,23,83,5,13,307,52,108,80,BON
25,3,4,2,19,1,6,16,77,5,16,221,71,92,60,BON
30,2,4,3,19,5,5,18,83,5,15,188,51,120,40,BON
34,1,3,2,19,1,7,19,87,5,23,344,69,117,50,BON
25,3,4,0,18,1,1,21,74,4,19,292,26,54,70,BON
25,2,4,3,17,1,2,19,73,4,15,344,107,54,80,BON
26,3,3,4,17,2,2,27,82,3,11,214,42,60,60,BON
26,2,6,2,14,0,2,19,72,3,10,119,37,50,55,BON
23,3,4,3,21,3,2,17,74,5,21,311,12,60,75,BON
25,2,4,0,17,3,3,16,69,4,12,307,130,67,70,BON
22,2,6,4,16,0,2,23,75,3,14,214,89,54,60,BON
14,2,4,3,15,4,3,21,62,2,6,135,34,120,45,BON
29,2,3,2,21,2,3,16,79,5,16,245,49,110,40,BON
28,2,5,2,19,3,4,12,73,5,18,175,61,108,15,BON
27,3,4,5,18,1,6,23,88,5,8,221,187,117,45,BON
28,2,1,5,20,3,8,18,84,5,13,250,66,123,50,BON
25,3,3,3,16,1,6,15,73,4,26,178,104,108,60,BON
27,3,5,4,18,4,5,13,76,4,13,282,22,160,20,BON
9,1,4,2,7,1,0,15,39,2,2,60,5,0,5,BON
26,2,3,3,15,1,2,21,72,3,4,132,43,33,50,BON
12,2,4,1,10,0,0,16,46,2,1,61,8,0,5,BON
11,1,2,1,9,0,0,14,38,1,0,36,5,0,0,BON
20,1,5,2,12,1,2,19,61,2,0,135,71,40,60,BON
11,1,3,1,10,0,0,10,36,1,0,90,26,0,30,BON
19,0,3,0,14,0,1,13,50,1,0,78,13,2,20,BON
31,4,6,4,18,1,1,20,84,3,12,274,86,50,45,BON
26,2,3,5,17,0,2,19,76,4,14,237,20,50,60,BON
22,2,4,2,14,0,2,14,62,2,1,87,41,40,5,BON
22,1,4,1,16,0,2,23,69,3,12,221,77,50,45,BON
20,3,4,0,13,0,0,14,55,2,0,114,38,0,10,BON
22,1,4,1,13,1,0,14,55,1,0,111,8,0,70,BON
15,0,5,0,14,0,1,17,52,1,0,155,67,2,45,BON
17,1,5,3,14,0,1,14,55,1,0,130,50,2,50,BON
24,2,3,2,14,0,1,15,61,1,0,122,43,2,50,BON
26,2,4,3,13,0,1,19,69,2,0,135,71,2,75,BON
18,1,3,3,10,0,1,17,53,1,1,86,57,15,50,BON
15,1,6,1,15,1,1,13,52,1,0,165,52,2,55,BON
12,0,3,1,11,0,0,10,37,1,0,190,68,0,20,BON
18,0,5,1,9,0,1,16,50,1,0,103,85,20,60,BON
24,2,2,2,13,1,1,19,63,1,6,85,124,15,35,BON
20,1,3,4,14,1,1,23,66,1,0,105,56,2,35,BON
21,3,3,6,16,0,2,20,71,2,11,190,33,50,40,BON
9,1,2,1,10,0,1,12,36,1,0,54,27,2,40,BON
24,2,4,2,21,1,2,25,81,4,17,377,10,218,70,BON
17,2,1,3,17,3,2,16,58,2,9,245,8,50,75,BON
19,2,3,1,18,1,2,13,59,3,18,244,5,50,70,BON
22,2,3,4,16,1,4,20,73,5,14,172,81,50,50,BON
24,3,1,2,17,3,6,18,75,4,13,189,51,116,45,BON
27,3,2,4,16,0,3,20,77,5,30,221,71,178,50,BON
32,2,4,2,20,2,6,22,89,5,27,240,64,78,40,BON
30,4,3,3,19,1,5,24,90,5,29,260,87,99,40,BON
28,0,3,1,14,2,6,27,81,4,27,198,211,168,50,BON
26,3,5,1,19,2,6,19,83,5,28,325,80,150,45,BON
29,3,5,4,18,2,6,13,79,4,20,177,105,162,55,BON
28,1,4,2,17,1,2,16,70,5,29,337,110,56,60,BON
25,2,4,0,16,1,1,15,65,4,11,289,17,56,45,BON
21,2,7,4,16,0,2,17,71,2,6,211,30,50,40,BON
15,1,5,0,13,1,0,12,46,1,1,142,26,0,30,BON
21,2,2,5,17,0,1,12,62,4,24,400,5,54,55,BON
21,2,4,3,18,1,2,19,70,3,18,257,50,54,50,BON
27,2,4,3,17,0,1,23,80,4,14,241,58,50,55,BON
23,1,2,2,10,2,0,13,51,2,2,45,2,0,5,BON
9,2,3,1,9,0,0,9,33,2,1,58,2,0,5,BON
25,2,3,2,14,0,1,14,62,2,4,101,20,50,10,BON
18,1,3,0,12,0,2,17,53,2,2,103,39,10,15,BON
15,2,4,1,10,0,0,13,45,1,0,52,5,0,5,BON
20,3,4,1,8,0,0,13,51,2,0,71,5,0,5,BON
27,2,4,3,18,0,2,22,80,3,21,334,54,54,55,BON
20,2,2,2,17,2,1,17,62,4,14,356,5,54,50,BON
17,3,3,2,13,0,2,18,59,2,1,118,11,2,15,BON
22,4,2,2,18,2,4,16,68,4,27,204,27,112,10,BON
29,2,4,0,18,1,4,17,76,5,24,300,20,140,60,BON
17,2,5,2,19,1,6,14,69,3,17,170,8,229,5,BON
25,3,4,4,20,2,4,19,84,4,18,233,107,100,10,BON
24,4,5,2,17,1,5,19,78,5,23,240,113,137,30,BON
35,2,4,4,19,3,6,20,91,5,32,247,46,64,5,BON
21,2,3,1,14,0,2,16,59,2,7,120,149,10,55,BON
20,1,3,0,15,1,1,23,63,2,7,179,44,54,50,BON
16,1,5,2,16,1,2,20,62,3,11,181,66,54,30,BON
24,2,4,2,17,0,2,19,72,2,7,212,129,54,70,BON
22,2,3,3,15,0,2,18,65,3,1,162,86,30,60,BON
22,2,4,5,16,1,1,22,73,3,11,193,10,54,60,BON
11,1,2,0,7,0,0,7,28,1,0,53,2,0,50,BON
12,1,1,0,9,0,0,12,35,1,0,24,2,0,25,BON
19,2,3,4,18,2,2,22,70,3,14,276,51,54,50,BON
22,3,4,2,16,1,1,18,67,3,17,306,10,54,60,BON
21,3,4,3,14,1,2,15,62,3,17,163,75,50,55,BON
27,2,4,0,16,1,2,15,68,3,13,218,64,30,60,BON
29,2,3,2,16,1,2,16,71,3,10,273,20,54,80,BON
12,2,6,3,14,2,13,11,62,4,5,168,5,108,5,PR
13,2,3,3,16,1,11,16,67,5,7,146,8,89,5,PR
21,2,6,1,10,2,7,17,68,5,7,182,10,112,10,PR
17,3,6,1,14,0,8,16,66,5,1,118,5,80,0,PR
21,3,6,4,19,0,11,16,81,5,10,116,5,85,0,PR
17,2,4,5,17,0,13,15,73,5,4,137,5,85,0,PR
15,4,3,2,14,0,11,14,65,5,17,107,5,98,10,PR
18,3,1,2,16,0,11,18,71,5,13,151,5,122,15,PR
11,4,3,2,15,2,15,18,68,4,2,141,5,104,15,PR
16,3,3,2,16,1,13,18,73,3,4,210,10,108,10,PR
12,4,0,0,14,0,16,19,68,2,2,171,28,124,20,PR
14,3,3,3,13,1,11,19,66,2,6,144,66,140,15,PR
10,2,1,4,12,1,13,23,65,2,0,123,12,114,5,PR
15,4,1,1,18,3,14,17,71,2,4,210,15,177,25,PR
12,3,2,1,18,1,10,21,68,4,5,228,8,138,55,PR
20,4,1,2,14,1,11,20,73,4,13,183,10,69,55,PR
14,2,4,3,13,2,10,16,63,4,2,103,5,126,20,PR
18,3,4,1,14,5,6,12,59,5,6,227,5,145,45,PR
24,4,4,1,14,2,5,12,66,4,4,200,5,97,50,PR
14,2,5,2,15,0,5,12,57,3,6,218,3,83,30,PR
16,3,4,1,13,1,6,13,58,4,3,183,22,80,80,PR
15,5,2,2,12,3,6,12,55,3,4,240,66,93,25,PR
15,5,4,1,17,5,12,18,74,2,6,256,36,110,15,PR
12,1,4,2,18,3,9,22,69,4,6,242,40,160,40,PR
18,3,3,1,15,2,14,20,75,3,7,250,52,142,15,PR
17,3,4,1,15,2,13,18,73,3,14,224,10,160,15,PR
15,0,3,4,11,1,13,13,60,3,3,210,10,152,15,PR
16,2,4,1,18,0,13,17,72,5,11,150,5,120,10,PR
13,3,3,2,19,1,8,17,65,5,4,171,51,154,0,PR
16,4,3,2,15,1,12,18,70,5,6,126,62,145,10,PR
15,5,3,4,13,4,11,11,62,4,11,108,3,120,20,PR
26,4,5,7,15,1,10,18,87,5,7,163,5,113,15,PR
13,4,7,4,17,3,13,19,78,3,5,198,8,162,25,PR
17,4,3,2,14,0,7,12,60,5,8,81,10,122,15,PR
20,4,5,3,15,2,9,14,73,4,16,165,10,96,20,PR
16,2,3,2,13,1,14,17,69,3,7,208,8,133,25,PR
14,4,4,3,17,2,12,18,73,4,0,222,8,124,35,PR
19,4,4,3,17,2,15,22,86,4,9,213,8,116,45,PR
12,4,4,2,15,4,13,16,69,3,7,205,16,144,65,PR
12,5,4,2,14,3,11,17,67,3,11,169,39,118,55,PR
18,2,6,2,15,2,8,9,63,3,2,181,30,102,50,PR
20,4,3,2,16,1,8,20,75,4,13,127,50,99,20,PR
15,3,8,2,16,6,11,19,75,3,6,252,30,140,40,PR
20,2,7,2,19,3,8,12,71,3,6,258,30,86,60,PR
12,4,4,2,18,1,12,19,73,3,7,226,20,114,35,PR
13,5,7,5,16,1,14,13,73,2,0,124,5,150,20,PR
9,4,4,3,14,2,13,18,66,2,8,160,8,156,15,PR
13,2,4,2,16,2,10,14,63,2,5,155,5,148,35,PR
8,3,5,2,17,1,12,15,62,2,0,160,41,150,20,PR
16,2,4,1,15,4,9,18,65,3,1,153,48,120,15,PR
12,4,5,3,15,1,14,12,65,2,2,115,8,152,10,PR
9,3,6,4,15,1,13,17,68,2,7,144,26,180,25,PR
17,4,4,4,16,1,11,20,76,3,7,97,47,180,25,PR
10,3,5,1,17,1,15,15,66,2,4,151,43,170,40,PR
19,4,5,1,16,2,10,11,67,2,9,136,50,152,35,PR
7,2,6,1,11,2,10,23,63,1,1,57,25,140,0,PR
4,2,4,1,10,1,7,21,50,1,0,62,20,130,5,PR
5,1,4,0,7,2,12,26,56,1,0,50,22,130,5,PR
6,0,2,2,14,2,9,23,57,1,1,75,23,130,5,PR
11,3,3,1,8,1,12,26,66,2,0,82,24,150,5,PR
10,2,5,3,7,1,12,19,58,1,0,37,20,150,0,PR
8,2,1,3,9,2,12,19,55,1,0,43,24,150,5,PR
9,3,4,1,7,1,10,21,56,1,0,56,30,136,5,PR
4,0,2,2,8,2,8,20,46,1,0,56,23,140,5,PR
7,2,2,1,6,1,14,22,55,1,0,39,21,135,0,PR
9,3,5,2,8,2,14,24,66,1,0,61,40,140,0,PR
6,3,3,1,9,1,13,26,62,1,0,69,25,134,0,PR
10,3,3,1,14,1,10,15,57,3,3,199,22,114,15,PR
12,3,4,3,12,4,12,22,68,2,3,195,47,127,5,PR
8,4,2,1,12,1,13,21,61,2,0,113,17,138,5,PR
7,3,3,1,16,4,11,18,60,2,0,233,25,135,10,PR
2,2,4,2,9,2,11,22,52,1,0,163,30,162,5,PR
6,4,2,0,7,2,9,29,57,1,1,141,15,150,5,PR
10,5,3,3,9,4,11,21,63,2,2,107,31,104,5,PR
9,2,2,1,9,3,13,16,54,1,0,128,21,136,10,PR
9,4,2,0,14,2,9,21,60,2,8,269,12,91,10,PR
11,5,2,1,10,5,13,17,61,3,9,232,26,122,5,PR
10,1,5,3,9,3,14,21,64,2,1,148,28,120,10,PR
20,4,4,1,17,3,9,17,74,5,8,171,2,103,10,PR
17,3,4,1,11,2,8,16,61,5,9,139,30,125,15,PR
18,3,3,2,19,3,13,16,75,5,10,158,42,95,5,PR
15,3,2,4,13,1,13,7,57,4,7,112,5,54,10,PR
16,3,2,3,19,1,10,20,73,5,11,152,20,111,15,PR
18,3,6,3,13,3,7,16,68,5,0,92,36,69,10,PR
17,3,5,1,17,1,12,16,71,4,8,145,42,108,10,PR
22,2,5,2,15,1,11,17,74,4,2,151,66,73,25,PR
17,4,4,3,17,1,14,11,71,3,6,113,20,143,35,PR
22,3,4,2,13,4,9,17,71,4,7,120,18,148,10,PR
16,4,5,2,11,4,10,20,69,4,2,138,46,134,25,PR
12,5,4,2,17,1,11,16,67,3,4,213,15,130,15,PR
21,3,6,2,12,1,8,17,70,4,7,90,9,99,5,PR
18,4,3,5,14,0,11,12,67,4,5,94,32,96,5,PR
22,3,2,2,12,0,7,14,63,5,3,129,31,123,10,PR
15,2,4,3,20,1,13,14,71,5,8,140,69,100,5,PR
7,3,2,1,11,1,14,24,63,1,0,93,15,160,0,PR
9,1,3,0,10,3,12,21,56,1,0,104,15,150,0,PR
3,2,4,1,11,1,13,18,52,1,0,171,38,135,5,PR
8,2,3,0,10,2,11,24,58,1,0,95,25,94,5,PR
7,2,3,0,11,1,13,21,57,1,1,139,30,132,5,PR
4,2,2,0,9,1,9,19,45,1,0,132,20,127,10,PR
